"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2018","2,640.90","2,619.30","2,674.80","2,593.10","","2.03%"
"03/18/2018","2,588.30","2,741.40","2,741.40","2,585.90","","-5.95%"
"03/11/2018","2,752.00","2,790.50","2,801.90","2,741.50","","-1.24%"
"03/04/2018","2,786.60","2,681.10","2,786.60","2,675.80","","3.54%"
"02/25/2018","2,691.20","2,757.40","2,789.20","2,647.30","","-2.04%"
"02/18/2018","2,747.30","2,723.00","2,747.80","2,697.80","","0.55%"
"02/11/2018","2,732.20","2,636.80","2,754.40","2,622.40","","4.30%"
"02/04/2018","2,619.60","2,741.10","2,763.40","2,532.70","","-5.16%"
"01/28/2018","2,762.10","2,867.20","2,870.60","2,760.00","","-3.86%"
"01/21/2018","2,872.90","2,809.20","2,872.90","2,808.10","","2.23%"
"01/14/2018","2,810.30","2,799.00","2,810.30","2,768.60","","0.86%"
"01/07/2018","2,786.20","2,742.70","2,787.80","2,736.10","","1.57%"
"12/31/2017","2,743.20","2,683.70","2,743.40","2,682.40","","2.60%"
"12/24/2017","2,673.60","2,679.10","2,692.10","2,673.60","","-0.36%"
"12/17/2017","2,683.30","2,685.90","2,695.00","2,676.10","","0.28%"
"12/10/2017","2,675.80","2,652.20","2,679.60","2,651.50","","0.92%"
"12/03/2017","2,651.50","2,657.20","2,665.20","2,624.80","","0.35%"
"11/26/2017","2,642.20","2,602.70","2,657.70","2,598.90","","1.53%"
"11/19/2017","2,602.40","2,579.50","2,604.20","2,578.20","","0.92%"
"11/12/2017","2,578.80","2,576.50","2,590.10","2,557.40","","-0.14%"
"11/05/2017","2,582.30","2,587.50","2,597.00","2,566.30","","-0.21%"
"10/29/2017","2,587.80","2,577.80","2,588.40","2,566.20","","0.26%"
"10/22/2017","2,581.10","2,578.10","2,583.00","2,544.00","","0.23%"
"10/15/2017","2,575.20","2,555.60","2,575.40","2,547.90","","0.86%"
"10/08/2017","2,553.20","2,551.40","2,557.70","2,541.60","","0.15%"
"10/01/2017","2,549.30","2,521.20","2,552.50","2,520.40","","1.19%"
"09/24/2017","2,519.40","2,499.40","2,519.40","2,488.00","","0.69%"
"09/17/2017","2,502.20","2,502.50","2,508.80","2,496.50","","0.08%"
"09/10/2017","2,500.20","2,474.50","2,500.20","2,474.50","","1.58%"
"09/03/2017","2,461.40","2,470.30","2,472.00","2,446.60","","-0.61%"
"08/27/2017","2,476.60","2,447.30","2,480.40","2,428.20","","1.37%"
"08/20/2017","2,443.10","2,425.50","2,454.80","2,417.30","","0.72%"
"08/13/2017","2,425.60","2,455.00","2,474.90","2,420.70","","-0.64%"
"08/06/2017","2,441.30","2,477.10","2,490.90","2,437.80","","-1.43%"
"07/30/2017","2,476.80","2,475.90","2,480.40","2,466.50","","0.19%"
"07/23/2017","2,472.10","2,472.00","2,484.00","2,459.90","","-0.02%"
"07/16/2017","2,472.50","2,459.50","2,477.60","2,450.30","","0.54%"
"07/09/2017","2,459.30","2,424.50","2,463.50","2,412.80","","1.41%"
"07/02/2017","2,425.20","2,431.40","2,439.20","2,407.70","","0.07%"
"06/25/2017","2,423.40","2,443.30","2,450.40","2,405.70","","-0.61%"
"06/18/2017","2,438.30","2,442.60","2,453.80","2,430.70","","0.21%"
"06/11/2017","2,433.20","2,425.90","2,443.80","2,418.50","","0.06%"
"06/04/2017","2,431.80","2,437.80","2,446.20","2,415.70","","-0.30%"
"05/28/2017","2,439.10","2,411.70","2,440.20","2,403.60","","0.96%"
"05/21/2017","2,415.80","2,387.20","2,418.70","2,386.90","","1.43%"
"05/14/2017","2,381.70","2,394.00","2,405.80","2,352.70","","-0.38%"
"05/07/2017","2,390.90","2,399.90","2,403.90","2,381.70","","-0.35%"
"04/30/2017","2,399.30","2,388.50","2,399.30","2,379.80","","0.63%"
"04/23/2017","2,384.20","2,370.30","2,398.20","2,369.20","","1.51%"
"04/16/2017","2,348.70","2,332.60","2,361.40","2,332.50","","0.85%"
"04/09/2017","2,328.90","2,357.20","2,366.40","2,328.90","","-1.13%"
"04/02/2017","2,355.50","2,362.30","2,378.40","2,344.70","","-0.30%"
"03/26/2017","2,362.70","2,329.10","2,370.40","2,322.20","","0.80%"
"03/19/2017","2,344.00","2,378.20","2,381.90","2,335.70","","-1.44%"
"03/12/2017","2,378.20","2,371.60","2,390.00","2,358.20","","0.24%"
"03/05/2017","2,372.60","2,375.20","2,378.80","2,354.50","","-0.44%"
"02/26/2017","2,383.10","2,365.20","2,401.00","2,359.00","","0.67%"
"02/19/2017","2,367.30","2,354.90","2,368.30","2,352.90","","0.68%"
"02/12/2017","2,351.20","2,321.70","2,351.30","2,321.40","","1.52%"
"02/05/2017","2,316.10","2,294.30","2,319.20","2,285.40","","0.81%"
"01/29/2017","2,297.40","2,286.00","2,298.30","2,267.20","","0.12%"
"01/22/2017","2,294.70","2,267.80","2,301.00","2,257.00","","1.03%"
"01/15/2017","2,271.30","2,269.10","2,277.00","2,258.40","","-0.15%"
"01/08/2017","2,274.60","2,273.60","2,279.30","2,254.20","","-0.11%"
"01/01/2017","2,277.00","2,251.60","2,282.10","2,245.10","","1.71%"
"12/25/2016","2,238.80","2,266.20","2,273.80","2,233.60","","-1.10%"
"12/18/2016","2,263.80","2,259.20","2,272.60","2,256.10","","0.25%"
"12/11/2016","2,258.10","2,258.80","2,277.50","2,248.40","","-0.06%"
"12/04/2016","2,259.50","2,200.70","2,259.80","2,200.00","","3.08%"
"11/27/2016","2,191.90","2,210.20","2,214.10","2,187.40","","-0.97%"
"11/20/2016","2,213.30","2,186.40","2,213.30","2,186.40","","1.44%"
"11/13/2016","2,181.90","2,165.60","2,189.90","2,156.10","","0.81%"
"11/06/2016","2,164.40","2,100.60","2,182.30","2,100.60","","3.80%"
"10/30/2016","2,085.20","2,129.80","2,133.20","2,083.80","","-1.94%"
"10/23/2016","2,126.40","2,148.50","2,154.80","2,119.40","","-0.69%"
"10/16/2016","2,141.20","2,132.90","2,148.40","2,124.40","","0.38%"
"10/09/2016","2,133.00","2,160.40","2,169.60","2,114.70","","-0.96%"
"10/02/2016","2,153.70","2,164.30","2,165.90","2,144.00","","-0.67%"
"09/25/2016","2,168.30","2,158.50","2,175.30","2,141.60","","0.17%"
"09/18/2016","2,164.70","2,144.00","2,180.00","2,135.90","","1.19%"
"09/11/2016","2,139.20","2,120.90","2,163.30","2,119.10","","0.54%"
"09/04/2016","2,127.80","2,181.60","2,187.90","2,127.80","","-2.39%"
"08/28/2016","2,180.00","2,170.20","2,184.90","2,157.10","","0.51%"
"08/21/2016","2,169.00","2,181.60","2,193.40","2,160.40","","-0.68%"
"08/14/2016","2,183.90","2,186.10","2,193.80","2,168.50","","-0.01%"
"08/07/2016","2,184.10","2,183.80","2,188.40","2,172.00","","0.05%"
"07/31/2016","2,182.90","2,173.20","2,182.90","2,147.60","","0.43%"
"07/24/2016","2,173.60","2,173.70","2,177.10","2,159.10","","-0.06%"
"07/17/2016","2,175.00","2,162.00","2,175.60","2,159.00","","0.62%"
"07/10/2016","2,161.70","2,131.70","2,169.10","2,131.70","","1.49%"
"07/03/2016","2,129.90","2,095.10","2,131.70","2,074.00","","1.28%"
"06/26/2016","2,102.90","2,031.50","2,108.70","1,991.70","","3.21%"
"06/19/2016","2,037.40","2,075.60","2,113.30","2,032.60","","-1.63%"
"06/12/2016","2,071.20","2,091.80","2,098.10","2,050.40","","-1.19%"
"06/05/2016","2,096.10","2,100.80","2,120.60","2,090.00","","-0.14%"
"05/29/2016","2,099.10","2,100.10","2,105.30","2,085.10","","0.00%"
"05/22/2016","2,099.10","2,052.20","2,099.10","2,047.30","","2.28%"
"05/15/2016","2,052.30","2,046.50","2,071.90","2,025.90","","0.28%"
"05/08/2016","2,046.60","2,057.60","2,084.90","2,043.10","","-0.51%"
"05/01/2016","2,057.10","2,067.20","2,083.40","2,039.50","","-0.40%"
"04/24/2016","2,065.30","2,089.40","2,099.90","2,052.30","","-1.26%"
"04/17/2016","2,091.60","2,078.80","2,111.10","2,073.70","","0.52%"
"04/10/2016","2,080.70","2,050.20","2,087.80","2,039.70","","1.62%"
"04/03/2016","2,047.60","2,073.20","2,074.00","2,033.80","","-1.22%"
"03/27/2016","2,072.80","2,037.90","2,075.10","2,028.30","","1.81%"
"03/20/2016","2,035.90","2,047.90","2,056.60","2,022.50","","-0.67%"
"03/13/2016","2,049.60","2,019.30","2,052.40","2,005.20","","1.35%"
"03/06/2016","2,022.20","1,996.10","2,022.40","1,969.20","","1.11%"
"02/28/2016","2,000.00","1,947.10","2,009.10","1,931.80","","2.67%"
"02/21/2016","1,948.00","1,924.40","1,963.00","1,891.00","","1.57%"
"02/14/2016","1,917.80","1,871.40","1,930.70","1,871.40","","2.84%"
"02/07/2016","1,864.80","1,873.20","1,881.60","1,810.10","","-0.81%"
"01/31/2016","1,880.00","1,936.90","1,947.20","1,872.20","","-3.10%"
"01/24/2016","1,940.20","1,906.30","1,940.20","1,872.70","","1.75%"
"01/17/2016","1,906.90","1,888.70","1,908.80","1,812.30","","1.41%"
"01/10/2016","1,880.30","1,926.10","1,950.30","1,857.80","","-2.17%"
"01/03/2016","1,922.00","2,038.20","2,038.20","1,918.50","","-5.96%"
