"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2022","3,901.06","3,762.01","3,905.42","3,741.65","","3.95%"
"10/16/2022","3,752.75","3,638.65","3,762.79","3,638.65","","4.74%"
"10/09/2022","3,583.07","3,647.51","3,712.00","3,491.58","","-1.55%"
"10/02/2022","3,639.66","3,609.78","3,806.91","3,604.93","","1.51%"
"09/25/2022","3,585.62","3,682.72","3,736.74","3,584.13","","-2.91%"
"09/18/2022","3,693.23","3,849.91","3,907.07","3,647.47","","-4.65%"
"09/11/2022","3,873.33","4,083.67","4,119.28","3,837.08","","-4.77%"
"09/04/2022","4,067.36","3,930.89","4,076.81","3,886.75","","3.65%"
"08/28/2022","3,924.26","4,034.58","4,062.99","3,903.65","","-3.29%"
"08/21/2022","4,057.66","4,195.08","4,203.04","4,057.66","","-4.04%"
"08/14/2022","4,228.48","4,269.37","4,325.28","4,218.70","","-1.21%"
"08/07/2022","4,280.15","4,155.93","4,280.47","4,112.09","","3.26%"
"07/31/2022","4,145.19","4,112.38","4,167.66","4,079.81","","0.36%"
"07/24/2022","4,130.29","3,965.72","4,140.15","3,910.74","","4.26%"
"07/17/2022","3,961.63","3,883.79","4,012.44","3,818.63","","2.55%"
"07/10/2022","3,863.16","3,880.94","3,880.94","3,721.56","","-0.93%"
"07/03/2022","3,899.38","3,792.61","3,918.50","3,742.06","","1.94%"
"06/26/2022","3,825.33","3,920.76","3,945.86","3,738.67","","-2.21%"
"06/19/2022","3,911.74","3,715.31","3,913.65","3,715.31","","6.45%"
"06/12/2022","3,674.84","3,838.15","3,838.15","3,636.87","","-5.79%"
"06/05/2022","3,900.86","4,134.72","4,168.78","3,900.16","","-5.05%"
"05/29/2022","4,108.54","4,151.09","4,177.51","4,073.85","","-1.20%"
"05/22/2022","4,158.24","3,919.42","4,158.49","3,875.13","","6.58%"
"05/15/2022","3,901.36","4,013.02","4,090.72","3,810.32","","-3.05%"
"05/08/2022","4,023.89","4,081.27","4,081.27","3,858.87","","-2.41%"
"05/01/2022","4,123.34","4,130.61","4,307.66","4,062.51","","-0.21%"
"04/24/2022","4,131.93","4,255.34","4,308.45","4,124.28","","-3.27%"
"04/17/2022","4,271.78","4,385.63","4,512.94","4,267.62","","-2.75%"
"04/10/2022","4,392.59","4,462.64","4,471.00","4,381.34","","-2.13%"
"04/03/2022","4,488.28","4,547.97","4,593.45","4,450.04","","-1.27%"
"03/27/2022","4,545.86","4,541.09","4,637.30","4,507.57","","0.06%"
"03/20/2022","4,543.06","4,462.40","4,546.03","4,424.30","","1.79%"
"03/13/2022","4,463.12","4,202.75","4,465.40","4,161.72","","6.16%"
"03/06/2022","4,204.31","4,327.01","4,327.01","4,157.87","","-2.88%"
"02/27/2022","4,328.87","4,354.17","4,416.78","4,279.54","","-1.27%"
"02/20/2022","4,384.65","4,332.74","4,385.34","4,114.65","","0.82%"
"02/13/2022","4,348.87","4,412.61","4,489.55","4,327.22","","-1.58%"
"02/06/2022","4,418.64","4,505.75","4,590.03","4,401.41","","-1.82%"
"01/30/2022","4,500.53","4,431.79","4,595.31","4,414.02","","1.55%"
"01/23/2022","4,431.85","4,356.32","4,453.23","4,222.62","","0.77%"
"01/16/2022","4,397.94","4,632.24","4,632.24","4,395.34","","-5.68%"
"01/09/2022","4,662.85","4,655.34","4,748.83","4,582.24","","-0.30%"
"01/02/2022","4,677.03","4,778.14","4,818.62","4,662.74","","-1.87%"
"12/26/2021","4,766.18","4,733.99","4,808.93","4,733.99","","0.85%"
"12/19/2021","4,725.79","4,587.90","4,740.74","4,531.10","","2.28%"
"12/12/2021","4,620.64","4,710.30","4,731.99","4,600.22","","-1.94%"
"12/05/2021","4,712.02","4,548.37","4,713.57","4,540.51","","3.82%"
"11/28/2021","4,538.43","4,628.75","4,672.95","4,495.12","","-1.22%"
"11/21/2021","4,594.62","4,712.00","4,743.83","4,585.43","","-2.20%"
"11/14/2021","4,697.96","4,689.30","4,717.75","4,672.78","","0.32%"
"11/07/2021","4,682.85","4,701.48","4,714.92","4,630.86","","-0.31%"
"10/31/2021","4,697.53","4,610.62","4,718.50","4,595.06","","2.00%"
